Age Category,Sex,num,Year,Time
35,M,1,2016,18895
30,F,1,2016,13550
57,M,7,2011,17512
60,M,7,2016,18091
54,M,7,2008,18716
60,M,7,2015,17673
56,M,7,2010,15809
60,M,7,2014,20011
55,M,7,2009,15765
45,M,1,2016,15101
52,M,3,2014,17756
50,M,3,2015,16423
50,M,3,2016,15892
50,M,1,2016,13617
35,F,1,2016,22166
39,F,2,2014,17123
40,F,2,2016,16613
45,F,2,2016,13283
45,F,2,2015,13081
45,M,2,2015,23086
45,M,2,2016,19088
25,F,1,2016,14013
50,M,1,2016,14142
30,M,1,2016,12611
35,F,1,2016,18524
25,F,1,2016,22504
50,M,1,2016,12640
25,M,5,2009,13697
26,M,5,2010,12703
28,M,5,2012,11910
30,M,5,2014,12753
30,M,5,2016,12325
35,M,2,2016,10750
35,M,2,2015,10794
35,M,1,2016,14419
40,F,4,2016,22857
40,F,4,2015,25125
40,F,4,2012,21393
42,F,4,2014,22487
55,M,1,2016,13996
30,F,1,2016,14790
45,M,1,2016,14323
35,M,1,2016,18317
35,F,1,2016,17402
35,F,1,2016,21276
50,F,1,2016,17095
35,M,1,2016,17140
45,M,1,2016,15897
50,M,1,2016,13556
40,M,1,2016,13547
35,F,1,2016,16117
40,M,2,2016,11666
33,M,2,2005,15342
50,M,2,2016,13652
60,M,4,2016,21776
58,M,4,2014,19626
28,M,4,2014,19626
55,M,4,2015,16144
40,M,3,2016,15752
40,M,3,2014,16380
40,M,3,2015,16158
45,M,1,2016,19320
50,M,3,2015,15772
50,M,3,2016,14817
35,M,1,2016,16314
45,F,1,2016,21015
50,F,2,2016,15558
42,M,2,2014,12979
40,M,2,2016,13035
35,F,1,2016,14063
30,F,1,2016,14785
30,M,3,2015,13798
33,M,3,2014,17552
35,M,3,2016,15146
40,M,1,2016,13227
35,M,1,2016,19542
30,F,1,2016,12582
45,M,1,2016,13368
30,M,1,2016,13692
65,M,1,2016,20580
45,M,2,2014,10837
45,M,2,2016,10990
35,F,1,2016,20744
60,F,5,2016,15064
60,F,5,2015,15132
57,F,5,2012,15401
50,F,5,2006,17249
59,F,5,2014,15440
45,M,1,2016,14538
40,M,1,2016,12828
30,F,1,2016,16010
40,M,1,2016,13366
25,M,1,2016,16425
25,M,1,2016,16884
60,F,2,2016,25603
53,F,2,2009,24431
40,F,1,2016,11595
30,F,1,2016,13668
30,M,1,2016,11759
30,M,1,2016,14309
45,M,2,2015,13138
45,M,2,2016,13107
50,F,1,2016,17587
40,M,1,2016,14912
35,F,1,2016,16049
30,M,1,2016,16097
45,M,1,2016,10788
30,M,1,2016,15606
40,M,1,2016,11032
35,M,2,2016,12897
26,M,2,2007,14022
20,M,1,2016,17212
50,F,1,2016,19105
45,M,1,2016,14091
35,M,1,2016,17047
30,M,1,2016,13432
20,F,2,2016,13128
45,F,1,2016,14492
30,F,1,2016,11907
30,F,1,2016,19028
40,F,1,2016,14686
35,M,1,2016,16092
35,M,1,2016,14167
50,F,1,2016,20711
34,M,5,2009,10373
36,M,5,2011,11693
40,M,5,2016,11158
35,M,5,2010,11816
31,M,5,2006,10731
35,M,1,2016,12671
40,F,1,2016,21234
45,F,1,2016,16624
45,F,6,2015,15860
42,F,6,2009,15273
44,F,6,2011,17074
45,F,6,2012,16810
47,F,6,2014,17320
45,F,6,2016,16397
40,F,2,2015,15162
40,F,2,2016,13355
25,M,1,2016,17655
40,F,1,2016,25788
30,F,1,2016,17726
35,M,1,2016,11374
45,F,1,2016,18161
30,M,1,2016,18876
35,M,1,2016,14056
45,M,1,2016,12199
35,F,1,2016,16955
35,M,1,2016,17540
45,M,2,2015,15637
45,M,2,2016,15394
40,F,1,2016,15406
45,F,1,2016,17470
30,F,1,2016,25776
40,F,1,2016,14547
30,F,1,2016,12861
35,M,1,2016,17729
50,M,6,2016,12561
48,M,6,2012,12168
47,M,6,2011,12303
46,M,6,2010,12812
50,M,6,2014,13017
50,M,6,2015,12464
35,M,1,2016,14046
45,M,1,2016,12675
55,M,1,2016,17368
35,M,1,2016,13671
45,F,1,2016,18196
40,M,1,2016,15265
50,M,2,2016,15030
39,M,2,2003,13369
60,M,1,2016,20535
30,M,2,2016,16105
30,M,2,2015,15512
35,M,1,2016,13745
35,F,1,2016,19029
20,M,1,2016,13172
25,F,1,2016,20310
30,F,1,2016,16221
35,F,1,2016,16725
20,M,2,2016,22658
15,M,2,2015,17820
40,M,1,2016,17248
35,M,2,2016,14776
35,M,2,2005,17505
50,F,1,2016,19903
55,M,2,2016,19612
50,M,2,2015,18956
37,M,4,2010,17377
40,M,4,2016,17399
38,M,4,2011,14702
36,M,4,2009,16731
35,F,1,2016,15678
35,M,1,2016,16081
35,M,2,2016,15191
35,M,2,2015,13479
35,M,1,2016,13341
40,M,1,2016,17252
30,F,1,2016,17376
45,F,1,2016,14074
40,F,1,2016,17219
45,M,1,2016,18910
35,F,1,2016,18201
45,M,1,2016,14896
50,M,3,2016,20341
41,M,3,2014,17793
51,M,3,2014,20265
40,M,1,2016,15427
20,M,2,2016,19673
17,M,2,2012,17276
35,M,1,2016,13839
45,F,2,2016,15137
0,F,2,2014,15975
25,M,1,2016,17328
30,F,1,2016,20270
35,F,1,2016,17981
50,M,1,2016,12285
50,M,1,2016,11895
40,F,4,2016,16252
37,F,4,2012,16457
35,F,4,2010,18847
50,M,2,2015,12652
50,M,2,2016,13270
40,M,1,2016,14038
50,M,1,2016,14569
35,F,1,2016,20171
20,F,1,2016,20976
33,F,4,2007,16664
20,F,4,2016,22127
32,F,4,2006,17241
20,F,4,2015,24866
40,M,1,2016,16203
27,M,5,2011,15165
30,M,5,2016,14185
30,M,5,2014,15524
30,M,5,2015,14479
28,M,5,2012,16319
40,M,3,2014,14803
40,M,3,2016,12332
40,M,3,2015,13074
40,M,4,2015,12578
35,M,4,2008,13360
36,M,4,2009,12392
40,M,4,2016,12846
30,F,1,2016,17409
55,M,6,2015,19757
57,M,6,2014,22040
54,M,6,2011,19114
55,M,6,2016,20008
55,M,6,2012,18554
53,M,6,2010,20622
40,F,1,2016,17503
20,M,2,2016,25698
19,M,2,2011,23708
45,M,1,2016,19055
40,F,1,2016,15619
55,M,1,2016,14625
30,F,1,2016,15557
25,F,1,2016,14084
40,F,1,2016,13494
45,F,1,2016,18901
55,M,1,2016,13786
40,M,1,2016,16010
30,M,1,2016,10585
20,M,1,2016,16346
30,M,1,2016,13098
39,M,3,2009,18890
31,M,3,2007,18285
30,M,3,2016,14511
45,M,1,2016,14535
35,M,1,2016,14312
45,M,1,2016,21143
25,F,1,2016,23238
20,F,3,2015,19641
23,F,3,2014,16985
25,F,3,2016,19216
54,M,8,2007,15441
40,M,8,2016,16565
52,M,8,2010,15579
35,M,8,2016,16974
44,M,8,2014,16362
40,M,8,2015,16272
52,M,8,2007,18038
50,M,1,2016,15227
40,M,1,2016,19585
35,M,1,2016,16553
40,F,4,2016,11394
39,F,4,2012,12205
41,F,4,2014,12684
40,F,4,2015,11448
46,M,5,2007,12848
47,M,5,2008,11693
50,M,5,2015,11154
53,M,5,2014,11722
55,M,5,2016,12932
40,M,2,2016,14958
35,M,2,2015,14380
35,M,2,2016,12722
40,M,1,2016,13258
38,M,3,2014,19784
40,M,3,2016,18119
36,M,3,2012,20738
35,M,1,2016,16350
30,F,1,2016,19517
30,F,1,2016,17695
45,F,1,2016,13242
40,M,1,2016,14260
50,M,1,2016,18655
30,M,1,2016,13634
55,M,2,2016,14872
30,M,1,2016,15897
45,M,1,2016,11450
30,M,4,2016,20744
30,M,4,2015,21021
30,M,4,2012,20185
29,M,4,2011,24273
15,F,1,2016,16965
45,M,1,2016,15062
35,F,1,2016,13721
35,M,1,2016,11943
30,M,1,2016,17965
40,F,1,2016,13965
50,M,2,2016,14837
46,M,2,2009,13662
40,F,2,2016,16637
35,F,2,2015,16978
40,F,1,2016,17346
30,F,1,2016,19005
55,F,6,2015,18320
60,F,6,2016,19627
51,F,6,2007,17980
54,F,6,2010,16031
55,F,6,2011,16520
52,F,6,2008,16165
30,M,1,2016,12166
50,F,3,2016,16873
47,F,3,2012,16931
50,F,3,2015,15710
50,F,1,2016,19998
40,M,1,2016,11447
30,M,2,2016,15403
25,M,2,2015,13674
20,F,3,2015,17274
25,F,3,2016,19864
23,F,3,2014,19843
25,M,1,2016,15231
40,M,1,2016,13217
35,M,3,2015,15490
38,M,3,2014,17414
40,M,3,2016,17385
35,M,1,2016,13555
25,M,1,2016,17691
30,M,1,2016,15301
30,M,1,2016,10716
45,F,1,2016,16979
30,M,1,2016,12084
50,F,1,2016,12537
35,M,2,2016,16083
36,M,2,2014,15971
25,F,1,2016,17978
50,M,3,2016,13945
48,M,3,2012,14322
50,M,3,2014,16171
20,M,1,2016,12530
40,F,1,2016,17547
30,F,1,2016,15786
50,M,1,2016,17920
45,M,1,2016,15933
35,M,1,2016,13757
30,F,1,2016,13614
50,M,1,2016,12769
30,F,1,2016,18891
25,F,1,2016,15730
25,F,2,2016,15944
25,M,1,2016,10886
35,M,6,2016,12625
35,M,6,2015,12198
29,M,6,2009,11383
28,M,6,2008,12391
27,M,6,2007,15753
32,M,6,2012,11465
40,F,1,2016,10530
65,M,5,2012,18933
65,M,5,2015,20521
67,M,5,2014,21626
64,M,5,2011,17862
65,M,5,2016,21130
35,M,1,2016,14872
40,M,1,2016,19584
50,M,1,2016,15815
20,F,1,2016,17224
35,M,1,2016,14616
