Age Category,Sex,num,Year,Time,ageFactor
45,M,7,2015,18047,"[40,50)"
45,M,7,2014,19305,"[40,50)"
42,M,7,2011,14033,"[40,50)"
45,M,7,2016,17326,"[40,50)"
25,F,1,2016,22497,"[20,30)"
40,M,1,2016,8696,"[40,50)"
55,M,1,2016,16925,"[50,60)"
35,M,5,2008,14902,"[30,40)"
36,M,5,2009,16723,"[30,40)"
34,M,5,2007,17566,"[30,40)"
37,M,5,2010,15917,"[30,40)"
30,M,5,2016,12401,"[30,40)"
30,M,1,2016,16033,"[30,40)"
35,F,1,2016,16430,"[30,40)"
30,F,1,2016,21699,"[30,40)"
45,M,1,2016,16711,"[40,50)"
35,M,1,2016,15134,"[30,40)"
30,M,1,2016,16237,"[30,40)"
50,M,3,2016,14283,"[50,60)"
50,M,3,2014,14214,"[50,60)"
50,M,3,2015,14062,"[50,60)"
45,M,1,2016,19116,"[40,50)"
49,M,2,2012,19318,"[40,50)"
50,M,2,2016,16968,"[50,60)"
30,M,1,2016,16056,"[30,40)"
30,M,2,2016,13624,"[30,40)"
40,M,2,2015,17384,"[40,50)"
40,M,2,2016,17893,"[40,50)"
45,F,1,2016,20831,"[40,50)"
25,F,2,2016,17791,"[20,30)"
25,F,2,2015,16309,"[20,30)"
30,F,1,2016,15470,"[30,40)"
35,M,1,2016,12667,"[30,40)"
55,M,1,2016,15769,"[50,60)"
25,F,1,2016,15726,"[20,30)"
45,M,1,2016,12067,"[40,50)"
35,M,1,2016,14671,"[30,40)"
30,M,1,2016,12582,"[30,40)"
40,M,1,2016,17076,"[40,50)"
40,F,1,2016,14682,"[40,50)"
15,F,1,2016,16739,"[10,20)"
38,M,5,2006,13367,"[30,40)"
45,M,5,2016,14094,"[40,50)"
39,M,5,2007,13336,"[30,40)"
42,M,5,2010,13979,"[40,50)"
45,M,5,2015,12814,"[40,50)"
30,F,1,2016,14230,"[30,40)"
15,M,1,2016,18599,"[10,20)"
30,M,1,2016,14399,"[30,40)"
35,M,1,2016,13275,"[30,40)"
45,F,1,2016,17073,"[40,50)"
25,M,1,2016,20505,"[20,30)"
50,M,1,2016,16020,"[50,60)"
55,F,1,2016,22184,"[50,60)"
30,F,2,2015,18581,"[30,40)"
35,F,2,2016,17916,"[30,40)"
55,M,2,2016,17867,"[50,60)"
55,M,2,2015,18277,"[50,60)"
30,M,2,2015,14488,"[30,40)"
35,M,2,2016,14044,"[30,40)"
50,M,2,2016,15206,"[50,60)"
50,M,2,2015,15987,"[50,60)"
45,M,1,2016,16125,"[40,50)"
34,F,2,2011,16468,"[30,40)"
35,F,2,2016,15282,"[30,40)"
50,F,3,2015,17508,"[50,60)"
50,F,3,2014,15975,"[50,60)"
50,F,3,2016,15477,"[50,60)"
40,F,1,2016,13615,"[40,50)"
40,M,1,2016,14169,"[40,50)"
30,F,4,2015,15198,"[30,40)"
30,F,4,2016,17808,"[30,40)"
25,F,4,2010,22787,"[20,30)"
29,F,4,2014,21333,"[20,30)"
35,M,2,2016,12165,"[30,40)"
33,M,2,2014,12408,"[30,40)"
40,F,1,2016,14026,"[40,50)"
39,M,3,2014,16953,"[30,40)"
40,M,3,2015,15852,"[40,50)"
40,M,3,2016,16060,"[40,50)"
41,F,4,2011,17041,"[40,50)"
45,F,4,2016,17535,"[40,50)"
42,F,4,2012,16383,"[40,50)"
40,F,4,2010,17781,"[40,50)"
35,F,1,2016,18688,"[30,40)"
20,M,1,2016,18334,"[20,30)"
30,M,1,2016,12593,"[30,40)"
20,F,1,2016,18601,"[20,30)"
25,F,1,2016,22768,"[20,30)"
50,M,5,2016,15291,"[50,60)"
50,M,5,2012,15413,"[50,60)"
49,M,5,2011,15705,"[40,50)"
50,M,5,2015,14868,"[50,60)"
48,M,5,2010,17075,"[40,50)"
40,M,1,2016,16147,"[40,50)"
30,M,1,2016,17822,"[30,40)"
35,F,2,2016,16699,"[30,40)"
35,F,2,2015,18022,"[30,40)"
25,F,1,2016,13117,"[20,30)"
40,F,1,2016,16865,"[40,50)"
35,M,1,2016,11634,"[30,40)"
41,M,4,2010,17385,"[40,50)"
42,M,4,2011,15916,"[40,50)"
45,M,4,2016,15146,"[40,50)"
45,M,4,2014,16719,"[40,50)"
50,M,1,2016,17775,"[50,60)"
45,M,1,2016,14634,"[40,50)"
35,M,1,2016,18895,"[30,40)"
30,F,1,2016,13550,"[30,40)"
57,M,7,2011,17512,"[50,60)"
60,M,7,2016,18091,"[60,70)"
54,M,7,2008,18716,"[50,60)"
60,M,7,2015,17673,"[60,70)"
56,M,7,2010,15809,"[50,60)"
60,M,7,2014,20011,"[60,70)"
55,M,7,2009,15765,"[50,60)"
45,M,1,2016,15101,"[40,50)"
52,M,3,2014,17756,"[50,60)"
50,M,3,2015,16423,"[50,60)"
50,M,3,2016,15892,"[50,60)"
50,M,1,2016,13617,"[50,60)"
35,F,1,2016,22166,"[30,40)"
39,F,2,2014,17123,"[30,40)"
40,F,2,2016,16613,"[40,50)"
45,F,2,2016,13283,"[40,50)"
45,F,2,2015,13081,"[40,50)"
45,M,2,2015,23086,"[40,50)"
45,M,2,2016,19088,"[40,50)"
25,F,1,2016,14013,"[20,30)"
50,M,1,2016,14142,"[50,60)"
30,M,1,2016,12611,"[30,40)"
35,F,1,2016,18524,"[30,40)"
25,F,1,2016,22504,"[20,30)"
50,M,1,2016,12640,"[50,60)"
25,M,5,2009,13697,"[20,30)"
26,M,5,2010,12703,"[20,30)"
28,M,5,2012,11910,"[20,30)"
30,M,5,2014,12753,"[30,40)"
30,M,5,2016,12325,"[30,40)"
35,M,2,2016,10750,"[30,40)"
35,M,2,2015,10794,"[30,40)"
35,M,1,2016,14419,"[30,40)"
40,F,4,2016,22857,"[40,50)"
40,F,4,2015,25125,"[40,50)"
40,F,4,2012,21393,"[40,50)"
42,F,4,2014,22487,"[40,50)"
55,M,1,2016,13996,"[50,60)"
30,F,1,2016,14790,"[30,40)"
45,M,1,2016,14323,"[40,50)"
35,M,1,2016,18317,"[30,40)"
35,F,1,2016,17402,"[30,40)"
35,F,1,2016,21276,"[30,40)"
50,F,1,2016,17095,"[50,60)"
35,M,1,2016,17140,"[30,40)"
45,M,1,2016,15897,"[40,50)"
50,M,1,2016,13556,"[50,60)"
40,M,1,2016,13547,"[40,50)"
35,F,1,2016,16117,"[30,40)"
40,M,2,2016,11666,"[40,50)"
33,M,2,2005,15342,"[30,40)"
50,M,2,2016,13652,"[50,60)"
60,M,4,2016,21776,"[60,70)"
