Id,Age Category,Sex,Time,Year,ageFactor,day_no,temp,flu,num,sdTime,meanTime,ran_more_than_once
34,45,M,20820,2016,"[40,50)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
35,45,M,12720,2016,"[40,50)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
36,55,M,19427,2016,"[50,60)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
37,45,M,14780,2016,"[40,50)",24.0,54.0,1.85,2,1833.5278836167176,16076.5,1
37,45,M,17373,2015,"[40,50)",25.0,60.0,1.9,2,1833.5278836167176,16076.5,1
38,50,M,12930,2016,"[50,60)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
39,40,M,14583,2016,"[40,50)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
40,45,M,12531,2016,"[40,50)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
41,37,F,18324,2014,"[30,40)",33.0,76.0,3.0,2,1455.2257556819147,17295.0,1
41,35,F,16266,2016,"[30,40)",24.0,54.0,1.85,2,1455.2257556819147,17295.0,1
42,35,M,12130,2016,"[30,40)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
43,35,M,14082,2016,"[30,40)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
44,40,M,15746,2016,"[40,50)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
45,44,M,19761,2014,"[40,50)",33.0,76.0,3.0,3,1830.630856653884,17680.333333333332,1
45,45,M,16963,2015,"[40,50)",25.0,60.0,1.9,3,1830.630856653884,17680.333333333332,1
45,45,M,16317,2016,"[40,50)",24.0,54.0,1.85,3,1830.630856653884,17680.333333333332,1
46,46,M,17728,2014,"[40,50)",33.0,76.0,3.0,2,3145.2109627177633,15504.0,1
46,40,M,13280,2016,"[40,50)",24.0,54.0,1.85,2,3145.2109627177633,15504.0,1
47,20,M,20278,2016,"[20,30)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
48,30,M,17499,2016,"[30,40)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
49,35,M,12888,2016,"[30,40)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
50,35,M,14180,2016,"[30,40)",24.0,54.0,1.85,2,597.5052301026327,13757.5,1
50,35,M,13335,2015,"[30,40)",25.0,60.0,1.9,2,597.5052301026327,13757.5,1
51,50,M,19575,2015,"[50,60)",25.0,60.0,1.9,2,1480.6815998046304,20622.0,1
51,55,M,21669,2016,"[50,60)",24.0,54.0,1.85,2,1480.6815998046304,20622.0,1
52,40,M,12342,2016,"[40,50)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
53,48,M,23173,2014,"[40,50)",33.0,76.0,3.0,2,2372.343250880867,21495.5,1
53,50,M,19818,2016,"[50,60)",24.0,54.0,1.85,2,2372.343250880867,21495.5,1
54,45,F,17225,2016,"[40,50)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
55,39,M,10174,2011,"[30,40)",30.0,63.0,4.0,2,325.9762261269984,10404.5,1
55,40,M,10635,2016,"[40,50)",24.0,54.0,1.85,2,325.9762261269984,10404.5,1
56,40,M,13740,2016,"[40,50)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
57,35,M,16795,2016,"[30,40)",24.0,54.0,1.85,2,1112.9860735876257,16008.0,1
57,37,M,15221,2012,"[30,40)",29.0,72.0,1.1,2,1112.9860735876257,16008.0,1
58,55,F,15715,2016,"[50,60)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
59,40,F,15115,2016,"[40,50)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
60,25,F,17994,2016,"[20,30)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
61,45,F,22693,2016,"[40,50)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
